,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
24949,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
24962,99.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
24980,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
24982,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
24984,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
25008,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25018,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
25020,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25026,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
25038,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
25040,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25053,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25056,4.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25062,4.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25064,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
25065,3.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25066,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25068,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25070,2.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25074,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25076,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25080,7.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25089,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25090,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25091,3.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25094,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25095,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25099,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25113,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25128,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25130,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25138,1.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25142,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25143,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25148,3.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25150,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25152,3.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25153,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25155,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25156,3.0,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25171,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25173,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25175,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25179,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25185,3.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25186,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25187,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25188,3.0,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não
25189,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
25190,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25192,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25193,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25194,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25196,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25197,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25198,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25199,1.0,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim
25201,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25207,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25208,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
25211,3.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
25212,3.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
25218,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25221,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25222,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25223,2.0,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
25224,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25226,1.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25227,1.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
25228,1.0,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não
25230,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25231,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25232,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25233,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25234,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25235,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25236,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25237,1.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25241,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25243,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25244,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25247,1.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25252,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25254,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
25257,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
25264,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25266,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25269,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
25274,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25276,2.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
25282,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25283,3.0,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25285,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25287,1.0,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25292,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25294,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25300,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25301,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25303,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25305,1.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25313,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25323,2.0,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
25327,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25328,1.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25329,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25330,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25331,2.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
25333,1.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25335,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25336,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25337,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25338,1.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não
25340,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25341,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25342,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25343,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25345,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25346,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25347,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25350,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25351,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
25352,3.0,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não
25354,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25355,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25358,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25361,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25367,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25368,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25370,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25371,3.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
25374,3.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
25376,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25377,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25382,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25385,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25386,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25388,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25391,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25392,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25394,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25399,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25403,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25405,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25406,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25411,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25414,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25416,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25425,0.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não
25432,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25443,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25444,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25445,3.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25453,4.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25466,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25477,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25478,1.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25495,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
25497,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25504,1.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25506,3.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25508,2.0,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não
25513,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25517,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25518,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25520,2.0,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
25524,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25525,3.0,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
25526,1.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não
25528,1.0,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não
25531,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25533,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25535,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25540,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25541,3.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25542,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25546,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
25550,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25553,1.0,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não
25554,0.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25557,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25560,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25568,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25571,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
25575,4.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25580,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25582,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25583,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25585,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25588,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25594,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25599,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25601,0.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25604,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25616,1.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
25617,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25618,3.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25619,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25620,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25621,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25624,2.0,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
25635,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25639,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25647,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25648,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25651,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25652,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25655,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25657,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25662,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25671,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25674,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25677,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25678,3.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25679,1.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25682,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25685,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25686,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25689,1.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25691,99.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25692,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25700,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25703,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
25710,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25711,3.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25722,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
25726,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25728,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25729,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25733,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25736,1.0,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25741,3.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
25744,3.0,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25746,3.0,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não
25747,3.0,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25750,2.0,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
25752,3.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25753,3.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25755,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25760,1.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25761,3.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
25762,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25763,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
25767,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25773,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25783,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25784,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25786,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25787,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25788,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25791,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25792,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
25796,3.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25805,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25807,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25809,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25810,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25814,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25826,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25827,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25829,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
25830,3.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
25832,3.0,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não
25837,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25838,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25841,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25842,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
25861,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25879,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25881,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25883,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25887,2.0,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não
25893,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25898,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25900,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
25903,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25918,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25920,3.0,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não
25937,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25939,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
25944,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
25946,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
25948,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25949,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25952,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25953,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25958,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25961,3.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
25968,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
25969,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
25972,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25979,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25980,3.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não
25983,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
25989,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
25999,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
26000,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
26004,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
26005,99.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
26006,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
26007,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
26011,1.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
26020,4.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
26027,2.0,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
26034,4.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
26039,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
26040,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
26053,4.0,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
26054,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
26055,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
26056,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
26060,4.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
26061,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
26066,3.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não
26067,1.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
26079,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
26082,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
