,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
798,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não
809,4.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
811,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
817,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
818,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
819,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
822,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
876,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
901,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
911,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
963,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
973,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
988,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
989,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1024,5.0,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1027,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
1066,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1070,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não
1075,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1078,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1099,3.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1112,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
1120,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1158,4.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim
1183,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1201,5.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1281,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1284,99.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1319,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1334,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1336,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1344,99.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1345,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1404,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1405,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1406,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1407,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1415,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1423,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1424,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1462,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1466,0.0,,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
1467,3.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1471,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1473,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1474,1.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1489,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
1494,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
1495,99.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1501,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1502,2.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
1505,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1506,4.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1511,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1513,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1515,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1517,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1521,4.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1522,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1525,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1527,4.0,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
