,renda mensal per capita,seguranca alimentar,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia,recebeu ajuda em alimentos
12806,99.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12808,2.0,3.0,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim
12809,1.0,4.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
12811,1.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12814,3.0,3.0,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim
12815,1.0,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
12816,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
12821,1.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12823,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12824,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12826,1.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12829,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12830,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12832,3.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12835,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12836,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
12842,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
12843,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
12845,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12852,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
12858,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12859,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
12862,2.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
12864,1.0,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
12865,3.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12866,2.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12867,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12872,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
12873,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12874,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12875,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
12880,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
12881,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12885,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
12887,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
12889,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
12892,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
12899,2.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
12900,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12903,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12909,1.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12910,2.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12911,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12920,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12922,3.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12925,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12926,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
12927,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
12933,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
12940,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12942,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
12951,0.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
12967,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
12969,1.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
12970,4.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
12975,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
12980,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
12983,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
12996,2.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
12999,6.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13012,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13016,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13017,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13020,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13022,1.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13024,3.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13025,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13027,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13031,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
13035,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13038,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13039,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13045,1.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim
13047,2.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13048,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
13054,3.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13084,1.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
13085,1.0,3.0,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
13091,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13097,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13099,1.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
13100,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13105,2.0,3.0,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
13106,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13108,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13109,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
13113,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13119,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
13122,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
13125,0.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
13127,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13130,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13133,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13139,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13141,99.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
13144,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13151,2.0,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13155,2.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13162,99.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
13163,99.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13164,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
13165,99.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13167,99.0,2.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim
13168,99.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13169,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13173,2.0,2.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim
13175,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
13191,3.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13192,3.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13197,99.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13198,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
13203,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
13205,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13209,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13212,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13213,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
13214,4.0,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
13215,3.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13216,4.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
13219,6.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13220,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13223,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13224,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
13225,4.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
13226,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
13236,1.0,2.0,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
13238,4.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13242,4.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13250,2.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13256,3.0,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
13266,99.0,2.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13269,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
13273,3.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13275,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13278,3.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13279,4.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13280,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
13282,3.0,2.0,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim
13285,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim
13287,3.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
13288,2.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13292,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13293,2.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13294,3.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não
13299,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13301,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
13313,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim
13314,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13315,3.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
13323,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13324,2.0,4.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim
13326,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13331,3.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13332,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13333,3.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13334,1.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13336,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
13338,4.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
13339,1.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13341,2.0,3.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13342,2.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13344,2.0,3.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13351,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13356,1.0,3.0,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não
13359,3.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13362,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13364,1.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
13366,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13367,2.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13370,1.0,2.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13375,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
13376,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
13378,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
13379,3.0,2.0,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13382,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13385,3.0,2.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13386,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13388,2.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13390,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
13393,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13398,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13412,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13416,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
13417,4.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13422,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13424,1.0,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
13440,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13441,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13443,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13446,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13447,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
13450,2.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13454,3.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim
13456,99.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim
13458,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
13459,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13460,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13461,2.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13462,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
13463,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13464,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
13466,4.0,2.0,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13467,4.0,2.0,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13468,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
13469,2.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13470,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13473,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13474,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
13477,1.0,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não
13479,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13482,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13483,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13484,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13485,3.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
13486,3.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
13491,1.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não
13504,3.0,2.0,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não
13506,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13507,3.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
13510,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13513,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13515,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13517,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
13518,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
13523,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
13526,3.0,2.0,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não
13539,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
13548,1.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim
13567,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13568,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
13569,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim
13571,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13572,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
13578,2.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13580,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
13582,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim
13618,2.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13619,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13626,99.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
13631,2.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13632,99.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13634,2.0,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
13638,4.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13639,99.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13640,2.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13642,1.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
13644,3.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13645,3.0,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13647,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13649,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13753,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13754,1.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13755,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
13756,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13757,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
13759,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
13760,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
13762,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
13763,2.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
13768,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
13777,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
13783,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13784,2.0,4.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
